tconst,primary_title,averagerating,numvotes,start_year,runtime_minutes,genres,weighted_rating
tt1014763,Child 44,6.5,59477,2015,137.0,"Crime,Drama,History",6.450498064561951
tt1438254,Charlie St. Cloud,6.5,55016,2010,99.0,"Drama,Fantasy,Romance",6.447738264847031
tt1800741,Step Up Revolution,6.5,51295,2012,99.0,"Drama,Music,Romance",6.4451893964217835
tt1389096,Stand Up Guys,6.5,50545,2012,95.0,"Comedy,Crime,Thriller",6.444645244556225
tt0997152,The Experiment,6.5,48248,2010,96.0,"Drama,Thriller",6.4429093627129745
tt2388771,Mowgli: Legend of the Jungle,6.5,45165,2018,104.0,"Adventure,Drama,Fantasy",6.44040084087508
tt1825157,The Double,6.5,44043,2013,93.0,"Comedy,Drama,Mystery",6.439432310299378
tt4853102,Batman: The Killing Joke,6.5,42932,2016,76.0,"Action,Animation,Crime",6.438441750574103
tt1464580,Stake Land,6.5,38749,2010,98.0,"Drama,Horror,Sci-Fi",6.434402500431379
tt1531901,Byzantium,6.5,38237,2012,118.0,"Drama,Fantasy,Horror",6.433871388585796
tt2669336,Time Lapse,6.5,37675,2014,104.0,"Sci-Fi,Thriller",6.433278420422816
tt4781612,Imperium,6.5,37199,2016,109.0,"Crime,Drama,Thriller",6.43276780977186
tt3165612,Sleeping with Other People,6.5,36105,2015,101.0,"Comedy,Drama,Romance",6.4315641109565505
tt6850820,Peppermint,6.5,35854,2018,101.0,"Action,Crime,Drama",6.431281838498702
tt1311071,Kill Your Darlings,6.5,32625,2013,104.0,"Biography,Drama,Romance",6.427431236442517
tt5304992,Set It Up,6.5,32261,2018,105.0,"Comedy,Romance",6.4269699271755645
tt2494280,Stretch,6.5,27302,2014,94.0,"Comedy,Crime",6.420045600550647
tt2094018,Hours,6.5,26396,2013,97.0,"Drama,Thriller",6.418636177912678
tt1894476,How I Live Now,6.5,26159,2013,101.0,"Romance,Sci-Fi,Thriller",6.418259250571747
tt2872732,Lucy,6.4,403194,2014,89.0,"Action,Sci-Fi,Thriller",6.396072399426428
tt0831387,Godzilla,6.4,350687,2014,123.0,"Action,Adventure,Sci-Fi",6.395523467673888
tt0944835,Salt,6.4,277204,2010,100.0,"Action,Mystery,Thriller",6.394434967770117
tt1645170,The Dictator,6.4,250976,2012,83.0,Comedy,6.393906082412964
tt1340138,Terminator Genisys,6.4,234615,2015,126.0,"Action,Adventure,Sci-Fi",6.393522042254878
tt2316204,Alien: Covenant,6.4,226920,2017,122.0,"Horror,Sci-Fi,Thriller",6.393324170371547
tt1210819,The Lone Ranger,6.4,208827,2013,150.0,"Action,Adventure,Western",6.392807609899627
tt1564367,Just Go with It,6.4,200932,2011,117.0,"Comedy,Romance",6.3925562779951495
tt1424381,Predators,6.4,199764,2010,107.0,"Action,Adventure,Sci-Fi",6.392517596234272
tt2293640,Minions,6.4,193917,2015,91.0,"Adventure,Animation,Comedy",6.392317750563
tt2334879,White House Down,6.4,191791,2013,131.0,"Action,Drama,Thriller",6.39224241319981
tt1980209,Pain & Gain,6.4,187820,2013,129.0,"Action,Comedy,Crime",6.392097664693168
tt1219827,Ghost in the Shell,6.4,176499,2017,107.0,"Action,Drama,Sci-Fi",6.391653680663428
tt1596365,The Woman in Black,6.4,165357,2012,95.0,"Drama,Fantasy,Horror",6.391165152844392
